City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Sola,VU,-13.8833,167.55,81.12,76,99,11.12,light rain
111,Goure,NE,13.9835,10.2704,58.71,19,0,8.84,clear sky
112,Mahajanga,MG,-15.7167,46.3167,78.82,89,20,2.3,few clouds
113,Kapaa,US,22.0752,-159.319,82.11,62,0,6.91,clear sky
114,Usinsk,RU,65.9939,57.5281,9.41,86,100,14.0,overcast clouds
115,Tessalit,ML,20.1986,1.0114,64.94,16,2,4.94,clear sky
116,Sinnar,SD,13.5691,33.5672,72.57,15,0,14.61,clear sky
117,Cidreira,BR,-30.1811,-50.2056,74.55,82,0,21.09,clear sky
118,Quatre Cocos,MU,-20.2078,57.7625,75.09,83,54,0.34,broken clouds
119,Jalu,LY,29.0331,21.5482,52.07,53,0,6.15,clear sky
120,Upata,VE,8.0086,-62.3989,76.19,74,32,7.76,scattered clouds
121,Noumea,NC,-22.2763,166.4572,87.78,99,77,7.16,broken clouds
122,Cetraro,IT,39.5166,15.9416,57.87,72,94,2.57,overcast clouds
123,Narsaq,GL,60.9167,-46.05,23.81,78,100,6.42,overcast clouds
124,Saint George,US,37.1041,-113.5841,72.43,15,0,8.01,clear sky
125,Jamestown,US,42.097,-79.2353,46.09,64,100,20.71,overcast clouds
126,Skjervoy,NO,70.0311,20.9714,29.55,69,100,16.33,light snow
127,Saint-Ambroise,CA,48.5501,-71.3324,26.2,74,100,6.91,light snow
128,Geraldton,AU,-28.7667,114.6,75.61,78,75,5.75,broken clouds
129,Ostrovnoy,RU,68.0531,39.5131,15.3,96,97,7.81,overcast clouds
130,Mehamn,NO,71.0357,27.8492,28.35,63,99,17.13,overcast clouds
131,Iqaluit,CA,63.7506,-68.5145,-2.31,84,100,3.44,light snow
132,Korostyshiv,UA,50.3172,29.0563,36.18,95,100,10.51,overcast clouds
133,Tasiilaq,GL,65.6145,-37.6368,14.16,68,100,3.91,overcast clouds
134,Longyearbyen,SJ,78.2186,15.6401,19.24,86,75,3.44,light snow
135,Padang,ID,-0.9492,100.3543,75.25,77,100,2.86,overcast clouds
136,Omboue,GA,-1.5746,9.2618,77.23,89,100,6.13,overcast clouds
137,Almeria,ES,37.1667,-2.3333,50.14,84,3,1.57,clear sky
138,Pisco,PE,-13.7,-76.2167,75.25,60,0,21.85,clear sky
139,Victoria,HK,22.2855,114.1577,67.17,91,35,3.0,scattered clouds
140,La Ronge,CA,55.1001,-105.2842,-9.15,64,100,2.3,overcast clouds
141,Sechura,PE,-5.5569,-80.8222,75.7,66,68,15.97,broken clouds
142,Cameta,BR,-2.2444,-49.4958,77.43,86,96,6.96,overcast clouds
143,Giyon,ET,8.5333,37.9833,59.47,43,39,9.95,scattered clouds
144,Mpika,ZM,-11.8343,31.4529,60.35,96,100,2.75,overcast clouds
145,Akhisar,TR,38.9185,27.8401,43.07,59,0,1.19,clear sky
146,Ribeira Grande,PT,38.5167,-28.7,60.19,74,88,10.54,overcast clouds
147,Bereda,ES,43.2686,-7.5406,44.58,100,100,0.76,overcast clouds
148,Aden,YE,12.7794,45.0367,75.92,64,7,12.1,clear sky
149,Pictou,CA,45.6834,-62.7153,34.45,86,34,5.75,scattered clouds
150,Leh,IN,34.1667,77.5833,-12.32,52,5,4.12,clear sky
151,Muscat,OM,23.6139,58.5922,68.02,52,0,3.11,clear sky
152,Lake City,US,30.1897,-82.6393,64.99,47,0,0.0,clear sky
153,Erenhot,CN,43.6475,111.9767,4.66,88,96,4.7,overcast clouds
154,Esperance,AU,-33.8667,121.9,75.04,94,100,2.01,light rain
155,Kalmunai,LK,7.4167,81.8167,76.42,88,100,2.66,overcast clouds
156,Brazzaville,CG,-4.2658,15.2832,82.71,78,42,4.61,scattered clouds
157,Faanui,PF,-16.4833,-151.75,82.02,70,59,13.91,broken clouds
158,Albany,US,42.6001,-73.9662,49.95,54,89,10.09,overcast clouds
159,Lamont,US,35.2597,-118.9143,85.84,34,0,2.1,clear sky
160,Kamenka,RU,51.3223,42.7678,32.76,88,100,12.88,overcast clouds
161,Watsa,CD,3.0372,29.5355,74.66,39,100,1.19,overcast clouds
162,Bengkulu,ID,-3.8004,102.2655,74.05,87,100,4.5,overcast clouds
163,Atuona,PF,-9.8,-139.0333,77.92,75,3,11.95,clear sky
164,Miandrivazo,MG,-19.5167,45.4667,77.85,90,14,2.26,light rain
