City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Kandrian,PG,80.38,moderate rain,-6.2167,149.55,Kandrian Station
408,Takoradi,GH,79.2,scattered clouds,4.8845,-1.7554,Raybow International Hotel
412,Koumra,TD,75.83,clear sky,8.9126,17.5539,Yamtoide house koumra
414,Tual,ID,82.26,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
417,Kibala,TD,75.92,clear sky,9.1104,18.3463,hotel safari
421,Lorengau,PG,83.48,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
433,Mitsamiouli,KM,79.68,overcast clouds,-11.3847,43.2844,Foyer ADM
437,Road Town,VG,75.99,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
440,Acarau,BR,78.6,overcast clouds,-2.8856,-40.12,castelo pizzaria
443,Sao Filipe,CV,79.47,broken clouds,14.8961,-24.4956,Hotel Xaguate
448,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
459,Kupang,ID,80.04,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
461,Tumut,AU,79.41,clear sky,-35.3,148.2167,Amaroo Motel
463,Teculutan,GT,76.12,broken clouds,14.9833,-89.7167,Jerson Ruballos
467,Carire,BR,76.01,overcast clouds,-3.9506,-40.4733,POUSADA PAIVA
482,Esperanza,DO,75.29,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
488,Cabedelo,BR,80.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
496,Poum,NC,80.87,overcast clouds,-20.2333,164.0167,
498,Acapulco,MX,79.99,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
500,Miri,MY,75.69,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
501,Charters Towers,AU,83.26,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
502,Ocos,GT,88.3,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
503,Basco,PH,76.15,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
509,Fare,PF,81.82,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
511,Puerto Ayacucho,VE,85.48,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
514,Fayaoue,NC,82.58,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
522,President Roxas,PH,78.49,broken clouds,7.1544,125.0558,Tiad Residence
524,El Obraje,HN,78.26,scattered clouds,14.0,-86.4333,Mack Führer
528,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
532,San Pedro,PH,80.31,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
533,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
535,Neiafu,TO,86.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
539,Lagos,NG,76.32,clear sky,6.5833,3.75,
549,Kimbe,PG,81.5,light rain,-5.5502,150.1429,Kimbe Bay Hotel
551,Fresno,US,79.02,haze,36.6666,-119.8343,GPS 07
554,Pandan,PH,77.54,overcast clouds,14.0453,124.1694,Bonifacio Lodge
557,Dhidhdhoo,MV,81.52,overcast clouds,6.8833,73.1,Dhidhoo beach
561,Cap-Haitien,HT,77.9,clear sky,19.7578,-72.2042,Habitation Jouissant
564,Palmerston,AU,87.89,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
565,Samarai,PG,82.96,broken clouds,-10.6167,150.6667,Nuli Sapi
567,Tarakan,ID,78.3,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
572,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
578,Loandjili,CG,77.41,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
579,Loanda,AO,75.52,overcast clouds,-8.8368,13.2343,Hotel Fórum
590,Yenagoa,NG,79.39,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
593,San Carlos Del Zulia,VE,77.76,broken clouds,9.0,-71.9135,Hotel El Manantial
595,Etchojoa,MX,75.69,clear sky,26.9167,-109.6333,Cuadra RT
601,Vila Do Maio,CV,75.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
607,Bonthe,SL,76.75,clear sky,7.5264,-12.505,Bonthe Holiday Village
622,Malakal,SS,77.29,scattered clouds,9.5334,31.6605,Nile Palace Hotel
626,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
628,Nelson Bay,AU,77.05,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
636,Khon Buri,TH,78.53,overcast clouds,14.5254,102.2459,Bangchongjai Cottage
639,Santa Marta,CO,86.34,few clouds,11.2408,-74.199,Casa de Isabella
640,Kieta,PG,79.61,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
646,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
650,Jaque,PA,79.38,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
652,Lethem,GY,84.07,broken clouds,3.3803,-59.7968,Savannah Inn
654,Sao Desiderio,BR,75.45,broken clouds,-12.3633,-44.9733,Hotel azaf
655,Prieska,ZA,80.2,clear sky,-29.6641,22.7474,Avenue GuestHouse
670,Hatillo,PR,78.39,few clouds,18.4863,-66.8254,El Buen Hotel
671,Tolaga Bay,NZ,79.25,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
673,Itaqui,BR,88.12,broken clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
674,Porto Novo,BJ,77.92,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
680,Port Keats,AU,84.42,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
690,Auki,SB,78.28,overcast clouds,-8.7676,160.7034,Auki Motel
691,Lhokseumawe,ID,77.18,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
